CUSTOMER_SIGN_UP_DATE,CUSTOMER_COMPANY_DISTRICT,CUSTOMER_AGE,CUSTOMER_COMPANY_SIZE,CUSTOMER_INDUSTRY,CUSTOMER_REVENUE_USD_AMT,CUSTOMER_TOTAL_LOAN_DEFAULTED_COUNT,TERM_LOAN_COUNT,CREDIT_LINE_COUNT,AVERAGE_LOAN_DISBURSAL_USD_AMOUNT,FIRST_LOAN_DISBURSAL_DATE_LCL_TS,CUSTOMER_ACQUISITION_SOURCE,DAYS_FROM_SIGNUP_TO_FIRST_LOAN,YEAR_JOINED,CUSTOMER_AGE_GROUP
2022-11-14 00:00:00.000000,KULIM,38,Small,Construction,6595.54,0,1,0,7824.71,2022-12-06 00:00:00.000000,Organic,22.0,2022,35-44 yo
2021-11-30 00:00:00.000000,KUALA LIPIS,34,Small,Construction,11339.18,0,2,0,7824.71,2022-04-20 00:00:00.000000,Digital Marketing,141.0,2021,25-34 yo
2022-03-30 00:00:00.000000,PUCHONG,49,Small,F&B,1994.15,1,1,0,2503.91,2022-04-11 00:00:00.000000,Organic,12.0,2022,45-54 yo
2018-04-16 00:00:00.000000,SEMENYIH,34,Micro,Other Service Activities,639.58,0,1,0,1564.94,2019-12-11 00:00:00.000000,Organic,604.0,2018,25-34 yo
2022-11-21 00:00:00.000000,BAYAN LEPAS,50,Small,F&B,1365.46,0,1,0,1564.94,2022-11-29 00:00:00.000000,Platform Partners,8.0,2022,45-54 yo
2021-02-19 00:00:00.000000,BANDAR BARU BANGI,30,Small,Motor Vehicles Repair,7373.66,1,2,0,5007.8150000000005,2021-03-16 00:00:00.000000,Organic,25.0,2021,25-34 yo
2022-08-19 00:00:00.000000,KOTA KINABALU,24,Small,Water Supply,3165.47,1,1,0,6259.77,2022-09-06 00:00:00.000000,Employee Referrals,18.0,2022,18-24 yo
2020-09-28 00:00:00.000000,KAJANG,32,Small,Professional Activities,18392.54,0,3,0,7720.376666666667,2020-10-15 00:00:00.000000,Digital Marketing,17.0,2020,25-34 yo
2023-02-14 00:00:00.000000,SUNGAI PETANI,37,Small,Motor Vehicles Repair,23744.09,0,1,0,39593.02,2023-02-23 00:00:00.000000,Brokers,9.0,2023,35-44 yo
2020-09-08 00:00:00.000000,SUNGAI BULOH,32,Small,Motor Vehicles Repair,19980.15,0,4,0,6995.29,2020-09-14 00:00:00.000000,Organic,6.0,2020,25-34 yo
